date,ticker,close,fiscal_period,fiscal_year,revenue,net_income,totalLiabilities,totalEquity,share_capital,earnings_per_share,p_e_ratio,sma_50,next_close
2024-10-23,AAPL,230.76,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1304.0696091205211,226.4908,230.57
2024-10-24,AAPL,230.57,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1302.9958821932682,226.6678,231.41
2024-10-25,AAPL,231.41,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1307.7428854505972,226.8016,233.4
2024-10-28,AAPL,233.4,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1318.9887622149838,226.94859999999997,233.67
2024-10-29,AAPL,233.67,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1320.5145846905536,227.1042,230.1
2024-10-30,AAPL,230.1,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1300.3398208469055,227.176,225.91
2024-10-31,AAPL,225.91,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1276.6613165038002,227.1662,222.91
2024-11-01,AAPL,222.91,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1259.707733441911,227.13379999999998,222.01
2024-11-04,AAPL,222.01,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1254.6216585233442,227.0372,223.45
2024-11-05,AAPL,223.45,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1262.759378393051,226.9626,222.72
2024-11-06,AAPL,222.72,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1258.634006514658,226.8564,227.48
2024-11-07,AAPL,227.48,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1285.5336916395222,226.87619999999998,226.96
2024-11-08,AAPL,226.96,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1282.5950705754615,226.81959999999998,224.23
2024-11-11,AAPL,224.23,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,0.17695374417599308,1267.1673099891423,226.7242,224.23
