Ticker,date,close,Net Income,Shares (Basic),p_e_ratio,Total Liabilities,Total Equity,sma_50,next_day_close,next_day_direction
AAPL,2019-09-30,55.99,13686000000.0,17963248000.0,73.48840095864387,248028000000.0,90488000000.0,52.7,56.15,1
AAPL,2019-10-01,56.15,13686000000.0,17963248000.0,73.6984053193044,248028000000.0,90488000000.0,52.787,54.74,0
AAPL,2019-10-02,54.74,13686000000.0,17963248000.0,71.84774189098349,248028000000.0,90488000000.0,52.8376,55.2,1
AAPL,2019-10-03,55.2,13686000000.0,17963248000.0,72.45150442788251,248028000000.0,90488000000.0,52.898199999999996,56.75,1
AAPL,2019-10-04,56.75,13686000000.0,17963248000.0,74.48592167178138,248028000000.0,90488000000.0,52.998000000000005,56.77,1
AAPL,2019-10-07,56.77,13686000000.0,17963248000.0,74.51217221686395,248028000000.0,90488000000.0,53.0946,56.1,0
AAPL,2019-10-08,56.1,13686000000.0,17963248000.0,73.63277895659799,248028000000.0,90488000000.0,53.168200000000006,56.76,1
AAPL,2019-10-09,56.76,13686000000.0,17963248000.0,74.49904694432266,248028000000.0,90488000000.0,53.2594,57.52,1
AAPL,2019-10-10,57.52,13686000000.0,17963248000.0,75.49656765746018,248028000000.0,90488000000.0,53.3446,59.05,1
AAPL,2019-10-11,59.05,13686000000.0,17963248000.0,77.50473435627649,248028000000.0,90488000000.0,53.4834,58.97,0
AAPL,2019-10-14,58.97,13686000000.0,17963248000.0,77.39973217594621,248028000000.0,90488000000.0,53.6426,58.83,0
AAPL,2019-10-15,58.83,13686000000.0,17963248000.0,77.21597836036825,248028000000.0,90488000000.0,53.852399999999996,58.59,0
AAPL,2019-10-16,58.59,13686000000.0,17963248000.0,76.90097181937746,248028000000.0,90488000000.0,54.0392,58.82,1
AAPL,2019-10-17,58.82,13686000000.0,17963248000.0,77.20285308782697,248028000000.0,90488000000.0,54.2204,59.1,1
